GTDB	MICROBE	MICR_NT_PLUS_COMPL_EUK	INVERTEBRATE	PLANT	VERTEBRATE_OTHER	VERTEBRATE_MAMMALIAN	NT	COMBINED
@endo_746:+:1139:1179:40e1_0-2/1	0	0	0	0	0	0	0	0	0
@endo_201:+:900:931:31e1_0-2/1	0	0	0	0	0	0	0	0	0
@endo_600:+:2409:2460:51e1_0-2/1	0	0	0	0	0	0	0	0	0
@endo_319:+:3025:3056:31e1_0-2/1	0	0	0	0	0	0	0	0	0
@endo_973:-:6134:6176:42e1_0-2/1	0	0	0	0	0	0	0	0	0
@endo_724:+:7619:7670:51e1_0-2/1	0	0	0	0	0	0	0	0	0
@endo_178:+:4784:4826:42e1_0-2/1	0	0	0	0	0	0	0	0	0
@endo_19:-:106:142:36e1_0-2/1	0	0	0	0	0	0	0	0	0
@endo_59:+:7837:7885:48e1_0-2/1	0	0	0	0	0	0	0	0	0
@endo_731:+:419:463:44e1_0-2/1	0	0	0	0	0	0	0	0	0
@endo_852:+:6612:6688:76e1_0-2/1	0	0	0	0	0	0	0	0	0
@endo_530:+:6182:6228:46e1_0-2/1	0	0	0	0	0	0	0	0	0
@endo_851:+:150:206:56e1_0-2/1	0	0	0	0	0	0	0	0	0
@endo_364:+:5639:5691:52e1_0-2/1	0	0	0	0	0	0	0	0	0
@endo_538:-:5001:5041:40e1_0-2/1	0	0	0	0	0	0	0	0	0
@endo_819:+:575:613:38e1_0-2/1	0	0	0	0	0	0	0	0	0
@endo_597:+:9005:9039:34e1_0-2/1	0	0	0	0	0	0	0	0	0
@endo_17:-:8884:8944:60e1_0-2/1	0	0	0	0	0	0	0	0	0
@endo_688:-:5725:5757:32e1_0-2/1	0	0	0	0	0	0	0	0	0
@endo_105:-:2990:3024:34e1_0-2/1	0	0	0	0	0	0	0	0	0
@endo_885:-:4092:4128:36e1_0-2/1	0	0	0	0	0	0	0	0	0
@endo_791:-:1610:1652:42e1_0-2/1	0	0	0	0	0	0	0	0	0
@endo_313:-:7500:7532:32e1_0-2/1	0	0	0	0	0	0	0	0	0
@endo_891:+:9373:9415:42e1_0-2/1	0	0	0	0	0	0	0	0	0
@endo_614:-:5731:5771:40e1_0-2/1	0	0	0	0	0	0	0	0	0
@endo_83:+:4848:4882:34e1_0-2/1	0	0	0	0	0	0	0	0	0
@endo_777:+:1084:1125:41e1_0-2/1	0	0	0	0	0	0	0	0	0
@endo_687:-:4734:4787:53e1_0-2/1	0	0	0	0	0	0	0	0	0
@endo_997:-:7176:7222:46e1_0-2/1	0	0	0	0	0	0	0	0	0
@endo_739:+:7425:7459:34e1_0-2/1	0	0	0	0	0	0	0	0	0
@endo_657:+:1432:1494:62e1_0-2/1	0	0	0	0	0	0	0	0	0
@endo_632:-:8598:8650:52e1_0-2/1	0	0	0	0	0	0	0	0	0
@endo_761:-:9693:9731:38e1_0-2/1	0	0	0	0	0	0	0	0	0
@endo_639:-:9944:9994:50e1_0-2/1	0	0	0	0	0	0	0	0	0
@endo_506:+:216:275:59e1_0-2/1	0	0	0	0	0	0	0	0	0
@endo_79:-:989:1031:42e1_0-2/1	0	0	0	0	0	0	0	0	0
@endo_270:-:3067:3105:38e1_0-2/1	0	0	0	0	0	0	0	0	0
@endo_77:+:8073:8131:58e1_0-2/1	0	0	0	0	0	0	0	0	0
@endo_18:-:697:737:40e1_0-2/1	0	0	0	0	0	0	0	0	0
@endo_437:-:5286:5322:36e1_0-2/1	0	0	0	0	0	0	0	0	0
@endo_478:-:1692:1735:43e1_0-2/1	0	0	0	0	0	0	0	0	0
@endo_220:-:3547:3614:67e1_0-2/1	0	0	0	0	0	0	0	0	0
@endo_940:-:6278:6320:42e1_0-2/1	0	0	0	0	0	0	0	0	0
@endo_727:+:9712:9749:37e1_0-2/1	0	0	0	0	0	0	0	0	0
@endo_492:-:9636:9674:38e1_0-2/1	0	0	0	0	0	0	0	0	0
@endo_923:+:4110:4145:35e1_0-2/1	0	0	0	0	0	0	0	0	0
@endo_835:-:7567:7599:32e1_0-2/1	0	0	0	0	0	0	0	0	0
@endo_857:+:7455:7507:52e1_0-2/1	0	0	0	0	0	0	0	0	0
@endo_925:-:2270:2327:57e1_0-2/1	0	0	0	0	0	0	0	0	0
@endo_836:+:4614:4646:32e1_0-2/1	0	0	0	0	0	0	0	0	0
@endo_968:+:8158:8223:65e1_0-2/1	0	0	0	0	0	0	0	0	0
@endo_845:-:7537:7581:44e1_0-2/1	0	0	0	0	0	0	0	0	0
@endo_126:-:5934:5974:40e1_0-2/1	0	0	0	0	0	0	0	0	0
@endo_686:+:4952:5014:62e1_0-2/1	0	0	0	0	0	0	0	0	0
@endo_841:+:5374:5423:49e1_0-2/1	0	0	0	0	0	0	0	0	0
@endo_174:-:8647:8689:42e1_0-2/1	0	0	0	0	0	0	0	0	0
@endo_407:+:5660:5708:48e1_0-2/1	0	0	0	0	0	0	0	0	0
@endo_750:-:9231:9261:30e1_0-2/1	0	0	0	0	0	0	0	0	0
@endo_551:-:3258:3315:57e1_0-2/1	0	0	0	0	0	0	0	0	0
@endo_347:-:454:503:49e1_0-2/1	0	0	0	0	0	0	0	0	0
@endo_712:+:6440:6480:40e1_0-2/1	0	0	0	0	0	0	0	0	0
@endo_494:+:5192:5246:54e1_0-2/1	0	0	0	0	0	0	0	0	0
@endo_171:+:5883:5922:39e1_0-2/1	0	0	0	0	0	0	0	0	0
@endo_792:+:2623:2660:37e1_0-2/1	0	0	0	0	0	0	0	0	0
@endo_87:+:1624:1655:31e1_0-2/1	0	0	0	0	0	0	0	0	0
@endo_139:+:6799:6839:40e1_0-2/1	0	0	0	0	0	0	0	0	0
@endo_428:-:3201:3232:31e1_0-2/1	0	0	0	0	0	0	0	0	0
@endo_53:+:2821:2872:51e1_0-2/1	0	0	0	0	0	0	0	0	0
@endo_232:+:3088:3129:41e1_0-2/1	0	0	0	0	0	0	0	0	0
@endo_162:-:2757:2800:43e1_0-2/1	0	0	0	0	0	0	0	0	0
@endo_750:-:3955:3996:41e1_0-2/1	0	0	0	0	0	0	0	0	0
@endo_384:+:3387:3429:42e1_0-2/1	0	0	0	0	0	0	0	0	0
@endo_952:-:4318:4376:58e1_0-2/1	0	0	0	0	0	0	0	0	0
@endo_63:+:929:969:40e1_0-2/1	0	0	0	0	0	0	0	0	0
@endo_768:-:5361:5422:61e1_0-2/1	0	0	0	0	0	0	0	0	0
@endo_889:+:3337:3394:57e1_0-2/1	0	0	0	0	0	0	0	0	0
@endo_568:+:298:345:47e1_0-2/1	0	0	0	0	0	0	0	0	0
@endo_786:+:448:491:43e1_0-2/1	0	0	0	0	0	0	0	0	0
@endo_754:+:3737:3779:42e1_0-2/1	0	0	0	0	0	0	0	0	0
@endo_254:-:319:362:43e1_0-2/1	0	0	0	0	0	0	0	0	0
@endo_282:-:4973:5028:55e1_0-2/1	0	0	0	0	0	0	0	0	0
@endo_906:-:9491:9530:39e1_0-2/1	0	0	0	0	0	0	0	0	0
@endo_629:-:644:698:54e1_0-2/1	0	0	0	0	0	0	0	0	0
@endo_976:-:4162:4217:55e1_0-2/1	0	0	0	0	0	0	0	0	0
@endo_942:-:1520:1554:34e1_0-2/1	0	0	0	0	0	0	0	0	0
@endo_133:-:7938:7980:42e1_0-2/1	0	0	0	0	0	0	0	0	0
@endo_531:-:5665:5738:73e1_0-2/1	0	0	0	0	0	0	0	0	0
@endo_103:-:4280:4320:40e1_0-2/1	0	0	0	0	0	0	0	0	0
@endo_83:+:3273:3325:52e1_0-2/1	0	0	0	0	0	0	0	0	0
@endo_136:+:239:300:61e1_0-2/1	0	0	0	0	0	0	0	0	0
@endo_546:+:3379:3418:39e1_0-2/1	0	0	0	0	0	0	0	0	0
@endo_362:-:2710:2746:36e1_0-2/1	0	0	0	0	0	0	0	0	0
@endo_23:+:9588:9625:37e1_0-2/1	0	0	0	0	0	0	0	0	0
@endo_938:+:653:688:35e1_0-2/1	0	0	0	0	0	0	0	0	0
@endo_310:-:7340:7406:66e1_0-2/1	0	0	0	0	0	0	0	0	0
@endo_434:-:8583:8637:54e1_0-2/1	0	0	0	0	0	0	0	0	0
@endo_231:+:6365:6413:48e1_0-2/1	0	0	0	0	0	0	0	0	0
@endo_483:+:2733:2782:49e1_0-2/1	0	0	0	0	0	0	0	0	0
@endo_442:+:9588:9637:49e1_0-2/1	0	0	0	0	0	0	0	0	0
@endo_669:-:6516:6556:40e1_0-2/1	0	0	0	0	0	0	0	0	0
@endo_154:+:503:535:32e1_0-2/1	0	0	0	0	0	0	0	0	0
@endo_153:-:4218:4250:32e1_0-2/1	0	0	0	0	0	0	0	0	0
