Sample1	Sample2	Sample3	Sample4	Sample5	Sample6	Sample7	Sample8	Sample9	Sample10
Streptococcus pyogenes	0	0	61887	0	19621	17588	13200	0	0	5746
Parvimonas micra	18149	0	0	55830	0	316	22491	6690	0	0
Clostridium botulinum	48912	0	17778	0	0	0	19996	18354	4644	20022
Rothia dentocariosa	28522	56923	0	4552	0	7547	0	0	2534	0
Yersinia pestis	10166	0	0	19723	2580	0	31645	17827	0	31729
Neisseria meningitidis	79002	2986	0	0	47824	0	0	21592	37058	0
Nocardia brasiliensis	0	0	32436	14692	22736	1431	0	0	5706	2298
Salmonella enterica	0	15510	14954	12460	0	49576	0	0	6834	8983
Streptosporangium roseum	0	38965	0	27014	1667	0	0	0	0	0
Sorangium cellulosum	53809	23519	24826	2277	37301	0	0	0	27000	8356
Ralstonia solanacearum	19510	83585	14169	41564	30434	36293	32994	0	24569	16679
Mycobacterium avium	0	36726	0	0	13950	20704	33694	28274	0	0
Mycolicibacterium aurum	41924	0	0	0	0	46973	17352	0	0	0
Enterococcus faecalis	41497	0	22268	0	0	49542	16838	27905	4982	0
Campylobacter rectus	8509	62713	0	0	0	20030	4449	3565	0	24967
Bradyrhizobium erythrophlei	0	0	64897	30070	0	0	0	18185	26508	0
Fusarium fujikuroi	0	23056	42616	41817	73525	0	7343	5227	10164	4098
Prosthecobacter vanneervenii	0	6017	54168	0	362	0	0	2381	0	27121
Burkholderia mallei	2758	0	0	0	33502	0	12865	3642	0	18749
Pseudomonas caeni	0	0	15518	8177	20362	12478	19999	5559	0	0
Rhodococcus hoagii	0	15691	53387	0	2529	10056	22092	0	3112	17099
Rhodopseudomonas palustris	886	0	42936	0	7188	900	0	18190	22607	0
Brevibacterium aurantiacum	47694	0	0	2988	60443	0	0	24933	12376	2762
Lactococcus lactis	0	0	58077	0	0	0	0	0	0	0
Aspergillus flavus	43658	37788	8507	24483	0	3262	796	31886	11129	1784
Methylobacterium bullatum	0	21317	3446	48740	0	0	15982	18280	16922	0
Mycobacterium riyadhense	30357	35719	22373	35860	14370	0	19735	15097	16984	0
Nonomuraea gerenzanensis	13371	85904	38266	33977	5709	0	64697	0	36064	33
Vermamoeba vermiformis	64745	0	0	0	0	44305	11339	20453	0	0
Planobispora rosea	0	5950	0	0	0	26494	0	0	0	0
Micromonospora echinospora	73615	0	98293	8165	0	62279	0	5290	0	12821
Acanthamoeba castellanii	71129	9068	0	443	65617	19597	0	0	0	22379
Micromonas commoda	1787	15205	0	0	12871	0	11878	0	13340	34563
Pseudomonas thivervalensis	0	39751	0	66835	27409	34166	20617	6671	3013	8452
Pseudomonas psychrophila	0	83606	9196	20333	0	36463	0	0	14453	31356
